20/21	File Transfer Protocol (FTP)
22	Secure File Transfer Protocol (SFTP)
22	Secure Shell (SSH)
23	Telnet
25	Simple Mail Transfer Protocol (SMTP)
53	Domain Name System (DNS)
67/68	Dynamic Host Configuration Protocol (DHCP)
69	Trivial File Transfer Protocol (TFTP)
80	Hypertext Transfer Protocol (HTTP)
123	Network Time Protocol (NTP)
161/162	Simple Network Management Protocol (SNMP)
389	Lightweight Directory Access Protocol (LDAP)
443	Hypertext Transfer Protocol Secure (HTTPS)
445	Server Message Block (SMB)
514	Syslog
587	Simple Mail Transfer Protocol Secure (SMTPS)
636	Lightweight Directory Access Protocol over SSL (LDAPS)
1433	Structured Query Language (SQL) Server
3389	Remote Desktop Protocol (RDP)
5060/5061	Session Initiation Protocol (SIP)
